,,Murder by County,,,,
,,,,,,
,Year 2019,Year 2020,Year 2021,Year 2022,Year 2023,Year 2024
Allegany County,0,1,4,2,5,2
Anne Arundel County,20,26,21,16,21,21
Baltimore City,348,334,329,319,244,315
Baltimore County,50,33,53,34,29,40
Calvert County,0,1,0,2,3,1
Caroline County,1,0,1,0,0,0
Carroll County,1,5,1,1,1,2
Cecil County,2,1,4,11,5,5
Charles County,5,16,8,11,15,11
Dorchester County,2,3,4,7,0,3
Frederick County,3,9,5,5,6,6
Garrett County,0,2,1,0,1,1
Harford County,7,5,6,7,12,7
Howard County,8,7,11,5,4,7
Kent County,0,0,0,1,0,0
Montgomery County,14,18,34,23,29,24
Prince Georges County,75,93,133,117,121,108
Queen Annes County,0,0,1,0,0,0
Somerset County,1,0,1,1,1,1
St. Marys County,1,7,2,5,4,4
Talbot County,1,0,2,1,3,1
Washington County,3,8,7,12,8,8
Wicomico County,1,3,4,3,2,3
Worcester County,0,1,2,3,0,1
Statewide Agencies,0,0,15,15,11,8
